"Mars Year","Mission subphase","Sol","Ls","Centroid longitude","Centroid latitude","Area (square km)","Member ID","Sequence ID","Maximum latitude","Minimum latitude","Confidence interval","Missing data"
"      29","B02","       4","      136.700","      68.7500","     -33.9500","       120336.36","B02_004","","     -29.4500","     -37.9500","      75","no"
"      29","B02","       4","      136.700","     -54.5500","      70.3500","       508814.41","B02_001","","      80.4500","      57.0500","      50","no"
"      29","B02","       4","      136.700","     -72.2500","     -10.4500","       152627.17","B02_009","B02_01","     -7.45000","     -13.6500","     100","no"
"      29","B02","       4","      136.700","     -53.3500","     -39.3500","       378639.44","B02_011","B02_02","     -34.4500","     -46.8500","      50","yes"
"      29","B02","       5","      137.200","      134.850","      65.8500","       58527.758","B02_017","","      68.6500","      61.8500","      50","no"
"      29","B02","       5","      137.200","      124.650","      74.6500","       47006.586","B02_018","","      76.5500","      72.2500","      50","no"
"      29","B02","       5","      137.200","     -47.8500","     -25.2500","       1956662.6","B02_011","B02_02","     -3.35000","     -46.0500","      75","yes"
"      29","B02","       6","      137.600","      151.350","      62.4500","       148137.59","B02_017","","      69.0500","      58.5500","      50","no"
"      29","B02","       6","      137.600","      131.750","      74.0500","       134240.41","B02_018","","      78.1500","      69.1500","      50","no"
"      29","B02","       6","      137.600","     -38.9500","     -21.3500","       2051696.5","B02_011","B02_02","     -2.85000","     -41.6500","      75","yes"
"      29","B02","       6","      137.600","     -64.8500","     -18.5500","       1070407.2","B02_013","B02_02","     -9.35000","     -29.6500","     100","no"
"      29","B02","       7","      138.100","     -79.5500","     -37.2500","       107589.46","B02_020","B02_02","     -34.6500","     -41.6500","      75","no"
"      29","B02","       7","      138.100","     -62.1500","     -34.6500","       295906.06","B02_021","B02_02","     -30.1500","     -39.1500","      50","yes"
"      29","B02","       7","      138.100","     -81.2500","     -27.2500","       379908.12","B02_023","B02_02","     -21.8500","     -31.6500","      75","no"
"      29","B02","       7","      138.100","      32.7500","     -42.1500","       98659.344","B02_022","","     -39.0500","     -44.9500","      50","no"
"      29","B02","       7","      138.100","     -4.14999","     -22.4500","       822503.25","B02_027","B02_02","     -13.7500","     -32.5500","      50","no"
"      29","B02","       7","      138.100","     -33.5500","      78.5500","       505082.84","B02_024","","      83.1500","      71.0500","      50","no"
"      29","B02","       7","      138.100","      44.4500","      73.3500","       260899.31","B02_025","","      78.4500","      66.8500","      50","no"
"      29","B02","       7","      138.100","      132.450","      59.8500","       256550.45","B02_017","","      66.7500","      54.7500","      50","no"
"      29","B02","       7","      138.100","      123.250","      74.6500","       271746.69","B02_018","","      78.6500","      69.7500","      50","no"
"      29","B02","       7","      138.100","     -33.7500","     -14.8500","       1755647.6","B02_011","B02_02","    -0.149994","     -31.2500","      75","no"
"      29","B02","       7","      138.100","     -59.2500","     -20.9500","       734804.81","B02_013","B02_02","     -10.3500","     -31.8500","      75","no"
"      29","B02","       8","      138.500","      150.550","      71.4500","       959192.31","B02_017+018","","      81.3500","      57.3500","      50","no"
"      29","B02","       8","      138.500","      62.4500","      74.2500","       348128.25","B02_025","","      78.6500","      63.7500","      50","no"
"      29","B02","       8","      138.500","     -66.5500","      77.4500","       446777.31","B02_026","","      84.2500","      68.7500","      50","no"
"      29","B02","       8","      138.500","     -16.0500","      80.2500","       258025.50","B02_024","","      86.5500","      74.9500","      50","no"
"      29","B02","       8","      138.500","     -48.9500","     -21.7500","       687339.44","B02_013","B02_02","     -10.3500","     -36.4500","      50","yes"
"      29","B02","       8","      138.500","     -77.4500","     -19.8500","       1631279.8","B02_023","B02_02","    -0.649994","     -34.8500","     100","no"
"      29","B02","       8","      138.500","     -24.2500","     -17.3500","       1528606.1","B02_011","B02_02","      1.05000","     -34.7500","      50","no"
"      29","B02","       8","      138.500","     0.350006","     -23.1500","       534217.25","B02_027","B02_02","     -16.8500","     -30.6500","      50","no"
"      29","B02","       8","      138.500","      30.4500","     -31.7500","       181575.72","B02_022","","     -28.2500","     -36.0500","      50","no"
"      29","B02","       8","      138.500","      68.2500","     -34.8500","       232015.27","B02_028","","     -29.0500","     -41.4500","      75","no"
"      29","B02","       9","      139.000","      16.5500","     -41.8500","       341504.50","B02_029","","     -36.9500","     -47.2500","      50","yes"
"      29","B02","       9","      139.000","      68.7500","     -34.5500","       447286.00","B02_031","","     -28.4500","     -41.6500","      50","no"
"      29","B02","       9","      139.000","      76.3500","      74.1500","       405020.03","B02_025","","      79.4500","      68.1500","      50","no"
"      29","B02","       9","      139.000","     -45.3500","      76.3500","       891513.25","B02_024+026","","      87.5500","      63.3500","      75","no"
"      29","B02","       9","      139.000","     -39.4500","     -18.9500","       6385680.0","B02_011+013","B02_02","      7.05000","     -44.5500","      75","yes"
"      29","B02","       9","      139.000","     -79.9500","     -12.9500","       1887221.5","B02_023","B02_02","     0.450005","     -26.2500","     100","yes"
"      29","B02","       9","      139.000","      172.450","      64.6500","       1231011.8","B02_017+018","","      78.6500","      54.7500","     100","no"
"      29","B02","      10","      139.400","      125.850","      75.4500","       744941.25","B02_025","","      81.1500","      68.7500","      50","no"
"      29","B02","      10","      139.400","     -35.3500","      73.3500","       954091.19","B02_024+026","","      84.2500","      56.2500","      50","no"
"      29","B02","      10","      139.400","     -42.5500","      2.55000","       210762.22","B02_032","B02_02","      7.95000","     -3.24999","      75","no"
"      29","B02","      10","      139.400","      73.5500","     -36.4500","       544676.81","B02_031","","     -27.0500","     -45.8500","      50","no"
"      29","B02","      10","      139.400","     -68.0500","     -15.7500","       1276270.2","B02_023","B02_02","      1.45000","     -34.7500","      50","yes"
"      29","B02","      10","      139.400","      22.9500","     -43.6500","       112966.73","B02_029","","     -39.6500","     -48.3500","     100","no"
"      29","B02","      10","      139.400","      44.5500","     -38.7500","       386754.78","B02_034","","     -27.8500","     -46.4500","      75","no"
"      29","B02","      10","      139.400","     -20.8500","     -21.6500","       8698299.0","B02_011+013","B02_02","      10.6500","     -47.9500","      75","yes"
"      29","B02","      10","      139.400","      175.150","      63.1500","       1149370.9","B02_017+018","","      75.7500","      51.6500","      75","no"
"      29","B02","      11","      139.900","     -72.8500","     -15.1500","       2212661.8","B02_023","B02_02","      1.65000","     -32.5500","      50","yes"
"      29","B02","      11","      139.900","     -35.2500","      72.6500","       932076.12","B02_024+026","","      84.2500","      59.3500","      75","no"
"      29","B02","      11","      139.900","     -114.250","     -43.0500","       383788.97","B02_035","","     -36.1500","     -49.5500","      50","yes"
"      29","B02","      11","      139.900","      64.0500","     -36.1500","       1176413.8","B02_031+034","","     -25.3500","     -46.6500","      50","yes"
"      29","B02","      11","      139.900","      26.5500","     -43.1500","       132367.95","B02_029","","     -39.6500","     -46.0500","     100","no"
"      29","B02","      11","      139.900","     -19.9500","     -16.0500","       11859335.","B02_011+013+032","B02_02","      19.3500","     -45.2500","      75","no"
"      29","B02","      11","      139.900","      127.450","     -30.5500","       116856.97","B02_015","","     -27.6500","     -33.1500","      50","no"
"      29","B02","      12","      140.400","     -36.9500","      74.4500","       860976.69","B02_024+026","","      88.3500","      53.5500","      50","no"
"      29","B02","      12","      140.400","     -63.0500","     -19.4500","       3301257.2","B02_023","B02_02","      3.75001","     -43.9500","      50","yes"
"      29","B02","      12","      140.400","     -13.3500","     -17.9500","       9471946.0","B02_011+013+032","B02_02","      14.3500","     -43.5500","      75","yes"
"      29","B02","      12","      140.400","      75.3500","     -28.5500","       1713235.5","B02_031+034","","     -9.95000","     -42.9500","      50","yes"
"      29","B02","      13","      140.800","      37.1500","      77.1500","       127040.55","B02_037","","      80.6500","      71.6500","      75","no"
"      29","B02","      13","      140.800","      137.150","      73.9500","       387532.53","B02_038","","      83.5500","      57.9500","      50","no"
"      29","B02","      13","      140.800","     -63.5500","     -12.2500","       2011933.8","B02_023","B02_02","      4.35001","     -33.9500","      75","no"
"      29","B02","      13","      140.800","     -15.2500","     -20.3500","       9626212.0","B02_011+013+032","B02_02","      13.1500","     -47.8500","      75","yes"
"      29","B02","      14","      141.300","     -40.1500","      70.0500","       1458610.1","B02_040","","      84.0500","      57.0500","      50","no"
"      29","B02","      14","      141.300","      147.350","      74.3500","       399184.56","B02_038","","      82.1500","      62.6500","      50","no"
"      29","B02","      14","      141.300","      33.8500","      76.8500","       362637.66","B02_037","","      85.2500","      67.9500","      50","no"
"      29","B02","      14","      141.300","     -58.8500","     -11.4500","       2007161.0","B02_023","B02_02","      3.75001","     -28.5500","      75","no"
"      29","B02","      14","      141.300","      42.2500","     -37.2500","       376215.22","B02_039","","     -30.3500","     -42.9500","      50","no"
"      29","B02","      14","      141.300","     -18.3500","     -14.6500","       6928532.0","B02_011+013+032","B02_02","      19.1500","     -44.9500","      75","yes"
"      29","B02","      15","      141.800","      40.6500","     -36.6500","       453964.09","B02_039","","     -31.5500","     -43.7500","      50","no"
"      29","B02","      15","      141.800","     -26.8500","      23.5500","       241794.78","B02_042","B02_03","      28.3500","      18.0500","      75","no"
"      29","B02","      15","      141.800","     -48.8500","      68.0500","       1378629.9","B02_040","","      84.0500","      54.7500","      75","no"
"      29","B02","      15","      141.800","     -74.2500","     -31.4500","       134717.23","B02_044","","     -28.4500","     -35.0500","      75","no"
"      29","B02","      15","      141.800","      73.7500","     -35.5500","       146912.20","B02_034","","     -31.7500","     -39.7500","     100","no"
"      29","B02","      15","      141.800","     -14.2500","     -10.8500","       4566775.0","B02_011+013+032","B02_02","      11.2500","     -30.8500","      75","no"
"      29","B02","      15","      141.800","     -54.7500","     -14.7500","       1782290.5","B02_023","B02_02","     -2.64999","     -32.7500","      50","yes"
"      29","B02","      16","      142.200","     -22.1500","      25.9500","       642013.81","B02_042","B02_03","      37.0500","      15.5500","     100","no"
"      29","B02","      16","      142.200","     -19.4500","     -6.14999","       1600344.1","B02_011+013+032","B02_02","      12.2500","     -21.7500","      50","yes"
"      29","B02","      16","      142.200","     -15.0500","     -38.9500","       197481.45","B02_043","B02_02","     -31.5500","     -44.7500","      50","yes"
"      29","B02","      16","      142.200","     -49.0500","     -11.4500","       2967289.8","B02_023+029","B02_02","      17.9500","     -37.5500","      75","no"
"      29","B02","      16","      142.200","     -70.8500","     -30.5500","       201080.06","B02_044","","     -26.1500","     -34.3500","      75","no"
"      29","B02","      16","      142.200","     -55.4500","      69.3500","       1298371.4","B02_040","","      83.5500","      58.5500","      75","no"
"      29","B02","      16","      142.200","      76.7500","     -38.0500","       360956.16","B02_034","","     -29.9500","     -44.1500","      75","no"
"      29","B02","      16","      142.200","      29.0500","     -34.0500","       664939.25","B02_039","","     -22.6500","     -41.8500","      75","no"
"      29","B02","      17","      142.700","     -18.4500","      23.7500","       653817.25","B02_042","B02_03","      36.2500","      8.95000","      50","yes"
"      29","B02","      17","      142.700","     -69.7500","     -29.4500","       112286.70","B02_044","","     -27.2500","     -32.1500","      50","no"
"      29","B02","      17","      142.700","     -45.0500","      67.8500","       1104359.1","B02_040","","      81.3500","      51.8500","      75","no"
"      29","B02","      17","      142.700","     -64.2500","     -11.1500","       612676.50","B02_023+029","B02_02","     -3.24999","     -16.3500","      75","yes"
"      29","B02","      17","      142.700","     -10.4500","     -38.1500","       103783.11","B02_043","B02_02","     -42.2500","     -42.2500","      50","yes"
"      29","B02","      17","      142.700","     -10.8500","     -16.3500","       1181940.4","B02_011+013+032","B02_02","      5.45000","     -35.2500","      50","yes"
"      29","B02","      17","      142.700","      47.9500","     -38.0500","       1027888.7","B02_039","","     -27.4500","     -50.1500","      50","yes"
"      29","B02","      17","      142.700","      78.9500","     -36.3500","       736004.94","B02_034","","     -21.5500","     -47.6500","      50","yes"
"      29","B02","      17","      142.700","      11.2500","     -43.2500","       292525.44","B02_045","","     -39.8500","     -45.8500","      50","yes"
"      29","B02","      18","      143.200","     -11.6500","      28.7500","       989336.12","B02_042","B02_03","      41.8500","      11.5500","      75","no"
"      29","B02","      18","      143.200","     -32.0500","      24.9500","       644664.19","B02_046","B02_03","      33.7500","      14.6500","      75","no"
"      29","B02","      18","      143.200","      81.4500","     -34.6500","       1613816.0","B02_034","","     -18.8500","     -53.0500","      75","no"
"      29","B02","      18","      143.200","      53.3500","     -40.5500","       1197333.1","B02_039","","     -29.2500","     -56.8500","      50","no"
"      29","B02","      18","      143.200","      10.1500","     -39.9500","       963263.56","B02_043+045","","     -31.9500","     -47.8500","      50","yes"
"      29","B02","      19","      143.600","     -44.4500","      80.3500","       253050.53","B02_047","","      85.8500","      75.7500","      75","no"
"      29","B02","      19","      143.600","     -27.9500","      25.5500","       811693.19","B02_046","B02_03","      34.1500","      17.5500","      75","no"
"      29","B02","      19","      143.600","     -19.4500","      10.3500","       266219.19","B02_048","B02_03","      14.1500","      5.75001","      75","no"
"      29","B02","      19","      143.600","     -5.54999","      25.7500","       1232008.6","B02_042","B02_03","      38.4500","      11.1500","      75","no"
"      29","B02","      19","      143.600","      85.0500","     -35.6500","       1577917.5","B02_034","","     -14.9500","     -56.0500","      50","no"
"      29","B02","      19","      143.600","      27.4500","     -38.8500","       1218462.1","B02_043+045","","     -29.7500","     -48.7500","      75","no"
"      29","B02","      20","      144.100","     -22.5500","      19.5500","       1163588.5","B02_046+048","B02_03","      35.3500","      6.55000","      75","no"
"      29","B02","      20","      144.100","     -48.1500","      71.9500","       868326.00","B02_047","","      83.1500","      56.4500","      75","no"
"      29","B02","      20","      144.100","      86.5500","     -25.9500","       1992576.9","B02_034","","     -1.05000","     -51.2500","      50","yes"
"      29","B02","      20","      144.100","     -11.7500","     -40.6500","       18601.096","B02_019","","     -39.2500","     -42.2500","     100","no"
"      29","B02","      21","      144.700","      3.75000","      25.5500","       1227517.9","B02_042","B02_03","      42.0500","      8.85001","      50","yes"
"      29","B02","      21","      144.700","     -21.2500","      21.5500","       1465326.6","B02_046+048","B02_03","      36.7500","      6.75001","      75","no"
"      29","B02","      21","      144.700","     -58.2500","      69.9500","       913393.44","B02_047","","      82.7500","      56.6500","      50","no"
